name,electric_pressure,electric_current,average_power,idle_power,apparent_power,power_factor,luminance
110,116.889999,0.282,21,25.272869,32.962978,0.642,9
110,116.839996,0.282,21,25.262058,32.948879,0.642,9
110,116.800003,0.282,21,25.25341,32.937599,0.642,9
110,116.900002,0.282,21,25.275032,32.965801,0.642,9
110,116.940002,0.282,21,25.28368,32.977081,0.642,9
110,116.93,0.282,21,25.281519,32.974258,0.642,9
110,116.980003,0.282,21,25.29233,32.988361,0.642,9
110,116.919998,0.281,21,25.134544,32.854519,0.644,9
110,116.849998,0.281,21,25.119497,32.83485,0.644,9
110,116.879997,0.281,21,25.125946,32.843281,0.644,9
110,116.870003,0.281,21,25.123796,32.840469,0.644,10
110,116.919998,0.281,21,25.134544,32.854519,0.644,9
110,116.959999,0.28,21,24.998384,32.748798,0.646,10
110,116.900002,0.28,21,24.985559,32.731998,0.646,10
110,116.910004,0.28,21,24.987698,32.734798,0.646,10
110,116.860001,0.28,21,24.977011,32.720798,0.646,9
110,116.870003,0.28,21,24.979149,32.723598,0.646,10
110,116.790001,0.28,21,24.962049,32.701199,0.646,9
110,116.800003,0.28,21,24.964188,32.703999,0.646,9
110,116.800003,0.28,21,24.964188,32.703999,0.646,9
110,116.730003,0.28,21,24.949224,32.684399,0.646,9
110,116.809998,0.28,21,24.966324,32.706799,0.646,9
110,116.830002,0.281,21,25.115198,32.829231,0.644,9
110,116.790001,0.281,21,25.1066,32.817989,0.644,9
110,116.790001,0.281,21,25.1066,32.817989,0.644,9
110,116.75,0.281,21,25.098,32.806751,0.644,9
110,116.839996,0.281,21,25.117348,32.832039,0.644,9
110,116.860001,0.281,21,25.121647,32.837662,0.644,9
110,116.800003,0.28,21,24.964188,32.703999,0.646,9
110,116.82,0.28,21,24.96846,32.709599,0.646,9
110,116.889999,0.279,21,24.838852,32.612309,0.648,9
110,116.790001,0.278,21,24.645447,32.467621,0.651,9
110,116.860001,0.279,21,24.832476,32.603939,0.648,9
110,116.779999,0.279,21,24.815475,32.581619,0.648,9
110,116.739998,0.279,21,24.806976,32.570461,0.648,9
110,116.830002,0.279,21,24.826101,32.59557,0.648,9
110,116.779999,0.279,21,24.815475,32.581619,0.648,9
110,116.839996,0.279,21,24.828226,32.598358,0.648,9
110,116.760002,0.279,21,24.811226,32.576038,0.648,9
110,116.82,0.279,21,24.823977,32.592781,0.648,9
110,116.809998,0.279,21,24.821852,32.589989,0.648,9
110,116.860001,0.278,21,24.660219,32.48708,0.651,10
110,116.800003,0.278,21,24.647558,32.470402,0.651,9
110,116.779999,0.278,21,24.643337,32.46484,0.651,10
110,116.779999,0.278,21,24.643337,32.46484,0.651,9
110,116.68,0.277,21,24.478081,32.320358,0.653,9
110,116.669998,0.277,21,24.475983,32.317589,0.653,9
110,116.57,0.277,21,24.455004,32.28989,0.653,9
110,116.660004,0.277,21,24.473885,32.314819,0.653,9
110,116.650002,0.276,21,24.299829,32.1954,0.656,9
110,116.739998,0.276,21,24.318577,32.220242,0.656,9
110,116.830002,0.276,21,24.337324,32.245079,0.656,9
110,116.800003,0.275,21,24.186935,32.119999,0.658,9
110,116.779999,0.275,20,25.043629,32.114498,0.626,9
110,116.790001,0.274,20,24.877327,32.000462,0.629,9
110,116.660004,0.274,20,24.849636,31.96484,0.629,9
110,116.660004,0.274,20,24.849636,31.96484,0.629,9
110,116.75,0.274,20,24.868807,31.9895,0.629,10
110,116.739998,0.274,20,24.866676,31.986759,0.629,9
110,116.739998,0.275,20,25.035049,32.1035,0.626,9
110,116.699997,0.274,20,24.858156,31.9758,0.629,9
110,116.75,0.274,20,24.868807,31.9895,0.629,9
110,116.709999,0.274,20,24.860287,31.97854,0.629,9
110,116.790001,0.273,20,24.734804,31.883671,0.631,9
110,116.790001,0.273,20,24.734804,31.883671,0.631,9
110,116.629997,0.273,20,24.700918,31.839991,0.631,9
110,116.75,0.274,20,24.868807,31.9895,0.629,9
110,116.779999,0.274,20,24.875196,31.997721,0.629,10
110,116.760002,0.274,20,24.870937,31.992241,0.629,10
110,116.68,0.274,20,24.853895,31.97032,0.629,10
110,116.779999,0.274,20,24.875196,31.997721,0.629,10
110,116.769997,0.274,20,24.873068,31.99498,0.629,10
110,116.790001,0.274,20,24.877327,32.000462,0.629,9
110,116.779999,0.274,20,24.875196,31.997721,0.629,9
110,116.75,0.274,20,24.868807,31.9895,0.629,10
110,116.839996,0.275,21,24.195219,32.131001,0.658,9
110,116.809998,0.275,21,24.189007,32.122749,0.658,10
110,116.839996,0.275,21,24.195219,32.131001,0.658,9
110,116.889999,0.275,21,24.205572,32.144749,0.658,9
110,116.809998,0.275,21,24.189007,32.122749,0.658,9
110,116.790001,0.275,21,24.184866,32.117249,0.658,9
110,116.739998,0.274,20,24.866676,31.986759,0.629,10
110,116.790001,0.274,20,24.877327,32.000462,0.629,9
110,116.760002,0.274,20,24.870937,31.992241,0.629,10
110,116.779999,0.274,20,24.875196,31.997721,0.629,9
110,116.779999,0.274,20,24.875196,31.997721,0.629,10
110,116.699997,0.274,20,24.858156,31.9758,0.629,9
110,116.639999,0.273,20,24.703035,31.84272,0.631,9
110,116.629997,0.273,20,24.700918,31.839991,0.631,9
110,116.629997,0.273,20,24.700918,31.839991,0.631,10
110,116.639999,0.274,20,24.845375,31.95936,0.629,10
110,116.68,0.273,20,24.711508,31.85364,0.631,9
110,116.699997,0.274,20,24.858156,31.9758,0.629,10
110,116.669998,0.274,20,24.851767,31.967581,0.629,9
110,116.699997,0.274,20,24.858156,31.9758,0.629,9
110,116.709999,0.274,20,24.860287,31.97854,0.629,9
110,116.690002,0.274,20,24.856026,31.973061,0.629,9
110,116.669998,0.274,20,24.851767,31.967581,0.629,10
110,116.699997,0.274,20,24.858156,31.9758,0.629,9
110,116.629997,0.273,20,24.700918,31.839991,0.631,10
110,116.629997,0.273,20,24.700918,31.839991,0.631,9
110,116.529999,0.274,20,24.821945,31.92922,0.629,9
